Name,Address,Latitude,Longitude,BeerPrice,HappyHourPrice,HasHappyHour,HappyHourTimes,AvgRating,RatingsCount,OpeningHours,SpecialNotes,URL
Ylias Bistro,"Noe Arksgränden 6, Repslagargatan 27, 118 26 Stockholm, Sweden",59.3156407,18.0715395,79,,No,,5,2,Mon: 15:00 – 00:00 | Tue: 15:00 – 00:00 | Wed: 15:00 – 00:00 | Thu: 15:00 – 00:00 | Fri: 13:00 – 01:00 | Sat: 13:00 – 01:00 | Sun: 13:00 – 00:00,Terrace · Pets OK,https://www.google.com/maps/search/?api=1&query=Ylias+Bistro+Noe+Arksgr%C3%A4nden+6%2C+Repslagargatan+27%2C+118+26+Stockholm%2C+Sweden
MAP Petite Maison,"Vasagatan 38, 111 20 Stockholm, Sweden",59.3328242,18.0575812,80,,No,,0,0,Mon: 15:00 – 23:00 | Tue: 15:00 – 23:00 | Wed: 15:00 – 23:00 | Thu: 15:00 – 01:00 | Fri: 15:00 – 01:00 | Sat: 13:00 – 01:00 | Sun: 13:00 – 23:00,,https://www.google.com/maps/search/?api=1&query=MAP+Petite+Maison+Vasagatan+38%2C+111+20+Stockholm%2C+Sweden
Racamaca,"Wollmar Yxkullsgatan 5B, 118 50 Stockholm, Sweden",59.31686579999999,18.063931,80,,No,,0,0,Mon: 17:00 – 22:00 | Tue: 17:00 – 22:00 | Wed: 17:00 – 22:00 | Thu: 17:00 – 22:00 | Fri: 17:00 – 23:00 | Sat: 17:00 – 23:00,,https://www.google.com/maps/search/?api=1&query=Racamaca+Wollmar+Yxkullsgatan+5B%2C+118+50+Stockholm%2C+Sweden
Il Tempo,"Högbergsgatan 40, 118 26 Stockholm, Sweden",59.316463,18.0711213,80,,No,,0,0,Mon: 17:00 – 22:00 | Tue: 17:00 – 22:00 | Wed: 17:00 – 22:00 | Thu: 17:00 – 23:00 | Fri: 16:00 – 23:00 | Sat: 16:00 – 23:00 | Sun: 16:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=Il+Tempo+H%C3%B6gbergsgatan+40%2C+118+26+Stockholm%2C+Sweden
Malakeh Restaurang,"Drottninggatan 77, 111 60 Stockholm, Sweden",59.3374934,18.0576333,80,,No,,0,0,Mon: 11:00 – 21:00 | Tue: 11:00 – 21:00 | Wed: 11:00 – 22:00 | Thu: 11:00 – 22:00 | Fri: 11:00 – 22:00 | Sat: 12:00 – 22:00 | Sun: 12:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=Malakeh+Restaurang+Drottninggatan+77%2C+111+60+Stockholm%2C+Sweden
Zink Grill,"Grev Turegatan 20, 114 46 Stockholm, Sweden",59.3363488,18.0764819,81,,No,,0,0,Mon: 17:00 – 00:00 | Tue: 17:00 – 00:00 | Wed: 17:00 – 00:00 | Thu: 17:00 – 00:00 | Fri: 11:30 – 01:00 | Sat: 12:00 – 01:00 | Sun: 15:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=Zink+Grill+Grev+Turegatan+20%2C+114+46+Stockholm%2C+Sweden
Restaurang Nytorget 6,"Nytorget 6, 114 56 Stockholm, Sweden",59.3120743,18.0828004,81,,No,,0,0,Mon: 11:00 – 00:00 | Tue: 11:00 – 00:00 | Wed: 11:00 – 01:00 | Thu: 11:00 – 01:00 | Fri: 11:00 – 01:00 | Sat: 11:00 – 01:00 | Sun: 11:00 – 00:00,,https://www.google.com/maps/search/?api=1&query=Restaurang+Nytorget+6+Nytorget+6%2C+114+56+Stockholm%2C+Sweden
Fiore Narvavägen,"Banérgatan 8, 114 56 Stockholm, Sweden",59.3331352,18.0919172,82,,No,,0,0,Mon: 08:00 – 23:00 | Tue: 08:00 – 23:00 | Wed: 08:00 – 23:00 | Thu: 08:00 – 00:00 | Fri: 08:00 – 00:00 | Sat: 12:00 – 00:00 | Sun: 12:00 – 23:00,,https://www.google.com/maps/search/?api=1&query=Fiore+Narvav%C3%A4gen+Ban%C3%A9rgatan+8%2C+114+56+Stockholm%2C+Sweden
Bistro Bananas,"Skånegatan 47, 116 37 Stockholm, Sweden",59.31179759999999,18.0752697,82,,No,,0,0,Mon: 16:00 – 01:00 | Tue: 16:00 – 01:00 | Wed: 16:00 – 01:00 | Thu: 16:00 – 01:00 | Fri: 16:00 – 01:00 | Sat: 12:00 – 01:00 | Sun: 12:00 – 01:00,,https://www.google.com/maps/search/?api=1&query=Bistro+Bananas+Sk%C3%A5negatan+47%2C+116+37+Stockholm%2C+Sweden
Bar Kaja,"Repslagargatan 8, 118 46 Stockholm, Sweden",59.3179209,18.0700428,82,,No,,0,0,Tue: 16:00 – 23:00 | Wed: 16:00 – 23:00 | Thu: 16:00 – 23:00 | Fri: 16:00 – 00:00 | Sat: 16:00 – 00:00,,https://www.google.com/maps/search/?api=1&query=Bar+Kaja+Repslagargatan+8%2C+118+46+Stockholm%2C+Sweden
